[2025-12-25 08:32:10] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful EDIT_AUTHORIZED on resource 14
[2025-12-29 07:28:33] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful EDIT_AUTHORIZED on resource 16
[2025-12-29 07:49:58] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_AUTHORIZED on resource 16
[2025-12-29 07:49:58] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_COMPLETED on resource 16
[2025-12-29 07:50:10] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_AUTHORIZED on resource 17
[2025-12-29 07:50:10] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_COMPLETED on resource 17
[2025-12-29 07:53:34] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_AUTHORIZED on resource 14
[2025-12-29 07:53:34] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_COMPLETED on resource 14
[2025-12-29 07:56:01] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_AUTHORIZED on resource 18
[2025-12-29 07:56:01] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_COMPLETED on resource 18
[2025-12-29 08:19:21] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful EDIT_AUTHORIZED on resource 20
[2025-12-29 08:32:22] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_AUTHORIZED on resource 20
[2025-12-29 08:32:22] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_COMPLETED on resource 20
[2025-12-29 08:40:04] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_AUTHORIZED on resource 19
[2025-12-29 08:40:04] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_COMPLETED on resource 19
[2025-12-29 08:40:28] WARNING - UNAUTHORIZED_ACCESS | User: 3312501041 | IP: ::1 | Details: Unauthorized DELETE attempt on resource 13 (owned by 3312501058)
[2025-12-29 08:46:13] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_AUTHORIZED on resource 21
[2025-12-29 08:46:13] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_COMPLETED on resource 21
[2025-12-29 08:46:39] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_AUTHORIZED on resource 22
[2025-12-29 08:46:39] INFO - SECURITY_SUCCESS | User: 3312501041 | IP: ::1 | Details: Successful DELETE_COMPLETED on resource 22
